Timestamp,What age category do you fit in?,Where do you hear new government guidelines from?,Do you trust your source for government guidelines?,How important is following Government guidelines to you?,Do you understand new government guidelines?,How quickly do you hear new government guidelines?,Do you think there is poor communication from the government and why?,"Do you think the government want to support the Somali community? If not, why?",Would you feel a dedicated app in Somali will help understand new government guidelines?,What features would you like to see in the app?
10/24/2020 11:28:40,19-29,"Reliable news outlets (e.g BBC news, etc)",Yes,Important,Yes,Within the same day,"Yes, they are sometimes unclear in things like who works from home and who can be outside.","Yes, but there's a lack of representation in data and ways to know how to help us. If we are more vocal on what's needed that would help.",Yes,Live updates and stats on number of cases or deaths 
10/24/2020 12:32:26,40-49,Friends/Family,Yes,Important,No,2-6 days,I don’t know where I can find ,No,Yes,More news 
10/24/2020 12:35:11,19-29,Friends/Family,Yes,Important,Yes,2-6 days,Yes,"No, little effort to overcome the language barrier ",Yes,Daily updates 
10/24/2020 13:22:28,19-29,Friends/Family,Yes,Not important,Yes,Next day,"Yes, although I can understand what the rules are, I don't understand why some of them are in place",Not specifically but I'm sure they intend to support the British community as a whole,"I think most Somalis understand the rules but just like the larger community, people are losing confidence in the government so they follow the rules that make sense to them",Somali businesses opening times 
10/24/2020 13:29:48,19-29,Social Media,Yes,Important,Yes,Next day,"Yes, lack of trusts of the sources and vague language used makes it hard to understand what they actually want us to do ","Not really, I haven’t heard any mention of the Somali community ",Yes,Up to date news 
10/24/2020 14:17:22,50 and over,"Reliable news outlets (e.g BBC news, etc)",Yes,Very important,Yes,Within the same day,"No, because if you’re listening to the news every day then you’re informed well but I understand many Somali people will fall through the cracks because of language issues or poor access to information. ","The government wants to support every resident who lives in the United Kingdom therefore, Somali community are part of the society. But I don’t think the British are equipped because of a lack of knowledge on the community itself. 

I think Somali people will respond more to other Somali people. ",Yes,"To be more audio focused for those who find reading comprehension difficult. I’m a lot older so I find it easier to listen to the news rather than searching online and reading articles. 

To put more of an emphasis on functionality and ease of use. 
."
10/24/2020 15:41:35,50 and over,"Reliable news outlets (e.g BBC news, etc)",Yes,Very important,Yes,Within the same day,"No, because if you’re listening to the news every day then you’re informed well but I understand many Somali people will fall through the cracks because of language issues or poor access to information. ","The government wants to support every resident who lives in the United Kingdom therefore, Somali community are part of the society. But I don’t think the British are equipped because of a lack of knowledge on the community itself. 

I think Somali people will respond more to other Somali people. ",Yes,"To be more audio focused for those who find reading comprehension difficult. I’m a lot older so I find it easier to listen to the news rather than searching online and reading articles. 

To put more of an emphasis on functionality and ease of use. 
."
10/24/2020 15:57:46,19-29,Social Media,No,Important,No,2-6 days,Yes not enough coverage and wilder sources ,I don’t think they want to but they have to ,Yes,Accurate news
10/24/2020 16:28:55,50 and over,Social Media,Yes,Very important,Yes,Within the same day,"I don’t think that’s reasonable, as I follow all the new government guidelines ",I’m not a political person,Yes,Translation from English to Somali
10/24/2020 17:13:20,50 and over,"Reliable news outlets (e.g BBC news, etc)",Yes,Moderately important,Yes,Next day,"No 
I believe the government gives the public the advice they think is right 
That advice could be wrong or right in hindsight ","Somali community is not organised 
When that’s the truth 
You can’t expect from plurastic society such a help ",No,No comment 
